Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | Ensemble | RN | LFI | LR | PS | DLF | LÉ | UDI | Agir | PCF | LP | UPR | NPA | G·s | RES | LO | GJ | REC | Other
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-21 | 2019-05-22 | E | 1024 | N/A | 0.5 | 22.5 | 24 | 9.5 | 12.5 | 4.5 | 3.5 | 7 | N/A | N/A | 3.5 | 1.5 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 2
OpinionWay–Tilder | Les Echos and Radio Classique | 2019-05-20 | 2019-05-22 | E | 2914 | 44.0 | 0.5 | 23 | 25 | 8 | 13 | 6 | 3 | 6.5 | N/A | N/A | 4 | 1 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 6
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-18 | 2019-05-22 | E | 2739 | 45.0 | 0.5 | 23 | 24.5 | 8.5 | 14 | 6 | 4 | 6.5 | N/A | N/A | 3.5 | 1.5 | 1.5 | N/A | 2 | N/A | 0.5 | 0.5 | N/A | 4
BVA | Europe 1 and La Tribune | 2019-05-20 | 2019-05-21 | E | 1347 | 49.0 | 0.5 | 22 | 23 | 8.5 | 13 | 5.5 | 3.5 | 8 | N/A | N/A | 3 | 2 | 1.5 | N/A | 2.5 | 1.5 | 1.5 | 0.5 | N/A | 1.5
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-20 | 2019-05-21 | E | 1024 | N/A | 0.5 | 22.5 | 24 | 9.5 | 12.5 | 5 | 3.5 | 7 | N/A | N/A | 3 | 2 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 2
ELABE | BFMTV | 2019-05-19 | 2019-05-21 | E | 2004 | 46.0 | 0.5 | 23 | 23.5 | 8 | 12.5 | 4 | 4.5 | 8.5 | N/A | N/A | 3 | 2 | 1 | 0.5 | 3 | N/A | 1.5 | 0.5 | N/A | 3
Ipsos | La Fondation Jean Jaurès, Le CEVIPOF and Le Monde | 2019-05-17 | 2019-05-21 | E | 9610 | 42.0 | 0.5 | 23.5 | 24 | 7.5 | 13 | 5.5 | 4 | 9 | N/A | N/A | 2.5 | 1 | 1 | N/A | 2.5 | N/A | 1 | 1 | N/A | 2.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-17 | 2019-05-21 | E | 2739 | 44.0 | 0.5 | 23 | 24 | 8.5 | 14 | 6 | 4 | 6.5 | N/A | N/A | 3 | 1.5 | 1 | N/A | 2 | N/A | 0.5 | 1 | N/A | 6
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-19 | 2019-05-20 | E | 1006 | N/A | 0.5 | 22 | 24 | 10 | 12.5 | 5 | 3.5 | 6.5 | N/A | N/A | 3.5 | 2 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-16 | 2019-05-20 | E | 2754 | N/A | 0.5 | 21.6 | 23.1 | 8.7 | 13.0 | 5.8 | 4.3 | 6.7 | N/A | N/A | 2.9 | 1.9 | 1.0 | N/A | 1.9 | N/A | 0.5 | 1.0 | N/A | 5.8
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-18 | 2019-05-19 | E | 1006 | N/A | 0.5 | 22.5 | 23.5 | 10 | 12.5 | 5 | 3.5 | 7.5 | N/A | N/A | 3.5 | 2 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-17 | 2019-05-18 | E | 1031 | N/A | 0.5 | 22 | 24 | 10 | 12.5 | 5 | 3.5 | 7 | N/A | N/A | 3 | 2 | 1 | N/A | 2 | N/A | 1 | 1 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-16 | 2019-05-17 | E | 1014 | N/A | 0.5 | 22.5 | 23.5 | 9.5 | 12.5 | 5 | 3.5 | 7 | N/A | N/A | 3.5 | 2 | 1 | N/A | 2.5 | N/A | 1 | 1 | N/A | 2
Ipsos | La Fondation Jean Jaurès, Le CEVIPOF and Le Monde | 2019-05-14 | 2019-05-17 | E | 9610 | 43.0 | 0.5 | 23 | 23.5 | 8 | 13 | 5.5 | 4 | 8.5 | N/A | N/A | 2 | 1 | 1 | N/A | 3 | N/A | 1 | 1 | N/A | 2.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-14 | 2019-05-17 | E | 2773 | N/A | 0.5 | 22.5 | 24 | 9 | 13.5 | 6 | 4.5 | 7 | N/A | N/A | 3 | 2 | 1 | N/A | 2 | N/A | 0.5 | 1 | N/A | 6
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-15 | 2019-05-16 | E | 1033 | N/A | 0.5 | 22.5 | 23 | 9.5 | 12.5 | 5 | 3.5 | 7.5 | N/A | N/A | 2.5 | 2.5 | 1 | N/A | 2.5 | N/A | 1 | 1 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-13 | 2019-05-16 | E | 2765 | N/A | 0.5 | 23 | 24 | 8.5 | 14 | 5.5 | 4 | 7 | N/A | N/A | 3 | 2 | 1.5 | N/A | 2.5 | N/A | 1.0 | 1 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-14 | 2019-05-15 | E | 1033 | N/A | 0.5 | 22 | 23 | 9.5 | 13 | 5 | 3.5 | 7 | N/A | N/A | 2.5 | 2.5 | 1 | N/A | 2.5 | N/A | 1 | 1 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-11 | 2019-05-15 | E | 2301 | N/A | 0.5 | 22.5 | 23.5 | 8.5 | 14 | 5.5 | 4 | 7 | N/A | N/A | 3 | 2.5 | 1.5 | N/A | 2.5 | N/A | 1.0 | 1 | N/A | 2
OpinionWay–Tilder | Les Echos and Radio Classique | 2019-05-08 | 2019-05-15 | E | 1917 | N/A | 1 | 22 | 24 | 8 | 14 | 5 | 4 | 7 | N/A | N/A | 4 | 1 | 1 | N/A | 2 | N/A | 1 | 2 | N/A | 6
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-13 | 2019-05-14 | E | 1052 | N/A | 0.5 | 22 | 22.5 | 9.5 | 13 | 5 | 3.5 | 7 | N/A | N/A | 2.5 | 2.5 | 1.5 | N/A | 2.5 | N/A | 1 | 1.5 | N/A | 2
ELABE | BFMTV | 2019-05-12 | 2019-05-14 | E | 2002 | N/A | 0.5 | 23.5 | 22 | 7.5 | 11 | 4 | 4 | 10 | N/A | N/A | 2 | 2 | 1 | 0.5 | 2.5 | N/A | 1.5 | 1.5 | N/A | 3
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-10 | 2019-05-14 | E | 1863 | N/A | 0.5 | 22.5 | 23 | 8.5 | 14 | 5.5 | 4.5 | 7.5 | N/A | N/A | 3 | 3 | 1.5 | N/A | 2.5 | N/A | 1.0 | 1 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-12 | 2019-05-13 | E | 1034 | N/A | 0.5 | 22 | 22.5 | 9.5 | 13 | 5 | 3.5 | 7 | N/A | N/A | 2.5 | 2.5 | 1.5 | N/A | 2.5 | N/A | 1.5 | 1.5 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-09 | 2019-05-13 | E | 1370 | N/A | 0.5 | 22.5 | 22.5 | 7.5 | 14 | 6 | 4.5 | 7.5 | N/A | N/A | 2.5 | 3 | 1 | N/A | 3 | N/A | 1.0 | 1 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-11 | 2019-05-12 | E | 1033 | N/A | 0.5 | 22 | 22.5 | 10 | 13 | 4.5 | 3.5 | 7 | N/A | N/A | 2.5 | 2.5 | 1.5 | N/A | 2.5 | N/A | 1.5 | 1 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-10 | 2019-05-11 | E | 1033 | N/A | 0.5 | 22 | 22.5 | 9.5 | 12.5 | 4.5 | 3.5 | 7 | N/A | N/A | 2.5 | 2.5 | 1.5 | N/A | 2.5 | N/A | 1.5 | 1 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-09 | 2019-05-10 | E | 1053 | N/A | 0.5 | 22 | 22 | 10 | 13 | 4.5 | 3 | 7 | N/A | N/A | 2.5 | 3 | 1.5 | N/A | 2 | N/A | 1.5 | 1 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-07 | 2019-05-10 | E | 1368 | N/A | 0.5 | 23 | 22 | 7.5 | 14 | 6 | 5 | 8 | N/A | N/A | 2.5 | 2.5 | 1 | N/A | 3 | N/A | 1.0 | 1.5 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-08 | 2019-05-09 | E | 1053 | N/A | 0.5 | 22 | 22 | 9.5 | 13 | 5 | 3 | 7 | N/A | N/A | 2.5 | 2.5 | 1.5 | N/A | 2 | N/A | 1.5 | 1 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-06 | 2019-05-09 | E | 1374 | N/A | 0.5 | 22.5 | 21.5 | 8 | 14 | 5.5 | 5 | 8.5 | N/A | N/A | 2.5 | 2.5 | 1 | N/A | 2.5 | N/A | 1.0 | 1.5 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-07 | 2019-05-08 | E | 1054 | N/A | 0.5 | 21.5 | 21.5 | 9.5 | 13.5 | 5 | 3.5 | 7 | N/A | N/A | 3 | 2.5 | 1.5 | N/A | 2.5 | N/A | 1.5 | 1.5 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-04 | 2019-05-08 | E | 1389 | N/A | 0.5 | 22 | 22 | 8.5 | 14 | 5.5 | 5 | 8 | N/A | N/A | 3 | 1 | 1 | N/A | 3 | N/A | 1.0 | 1.5 | N/A | 1
ELABE | BFMTV | 2019-05-06 | 2019-05-07 | E | 1201 | N/A | 0.5 | 22 | 22 | 9 | 14 | 4.5 | 3.5 | 9.5 | N/A | N/A | 1.5 | 2 | 1 | 0.5 | 3.5 | N/A | N/A | 2 | N/A | 3
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-06 | 2019-05-07 | E | 1043 | N/A | 0.5 | 21.5 | 21.5 | 9.5 | 13.5 | 5 | 3 | 7.5 | N/A | N/A | 2.5 | 2.5 | 1.5 | N/A | 2.5 | N/A | 1.5 | 1.5 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-04 | 2019-05-07 | E | 1405 | N/A | 0.5 | 21.5 | 22 | 9 | 14.5 | 5.5 | 5 | 8 | N/A | N/A | 3 | 1 | 1 | N/A | 3 | N/A | 1.0 | 1.5 | N/A | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-05 | 2019-05-06 | E | 1015 | N/A | 0.5 | 21.5 | 21.5 | 9 | 14 | 5 | 3 | 7.5 | N/A | N/A | 3 | 2.5 | 1.5 | N/A | 2.5 | N/A | 1.5 | 1.5 | N/A | 2
OpinionWay–Tilder | Les Echos and Radio Classique | 2019-05-04 | 2019-05-06 | E | 1917 | N/A | 1 | 22 | 24 | 8 | 14 | 5 | 4 | 7 | N/A | N/A | 3 | 1 | 1 | N/A | 3 | N/A | 1 | 2 | N/A | 6
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-05-04 | 2019-05-06 | E | 945 | N/A | 0.5 | 21.5 | 22.5 | 9 | 14.5 | 5.5 | 5 | 8 | N/A | N/A | 3 | 1 | 1 | N/A | 2.5 | N/A | 1.0 | 1.5 | N/A | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-03 | 2019-05-04 | E | 1052 | N/A | 0.5 | 23.5 | 20.5 | 8.5 | 14.5 | 5 | 3.5 | 8 | N/A | N/A | 2 | 2 | 1.5 | N/A | 3 | N/A | 1 | 3 | N/A | 2
Ipsos | La Fondation Jean Jaurès, Le CEVIPOF and Le Monde | 2019-05-02 | 2019-05-03 | E | 1500 | 58.0 | 0.5 | 21.5 | 22 | 8 | 13.5 | 5.5 | 5 | 8.5 | N/A | N/A | 2 | 1.5 | 1 | N/A | 3.5 | N/A | 1 | 2 | N/A | 2.5
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-02 | 2019-05-03 | E | 1066 | N/A | 0.5 | 23.5 | 20 | 8.5 | 14 | 5 | 4 | 8.5 | N/A | N/A | 2.5 | 2 | 1.5 | N/A | 2.5 | N/A | 1 | 3 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-30 | 2019-05-03 | E | 1397 | N/A | 0.5 | 21.5 | 23 | 8.5 | 15 | 5.5 | 4.5 | 9 | N/A | N/A | 2.5 | 1 | 1 | N/A | 2 | N/A | 1.0 | 2 | N/A | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-05-01 | 2019-05-02 | E | 1052 | N/A | 0.5 | 23.5 | 20 | 9 | 13.5 | 5 | 4 | 8 | N/A | N/A | 2 | 2 | 1.5 | N/A | 3.5 | N/A | 1 | 3 | N/A | 2
BVA | Europe 1 and La Tribune | 2019-04-30 | 2019-05-02 | E | 720 | N/A | 0.5 | 22 | 22 | 9 | 13 | 5.5 | 4.5 | 7.5 | N/A | N/A | 2.5 | 2 | 1 | N/A | 3 | 1.5 | 1.5 | 3 | N/A | 1.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-29 | 2019-05-02 | E | 1404 | N/A | 0.5 | 21.5 | 22.5 | 8.5 | 15 | 5 | 4.5 | 9 | N/A | N/A | 3 | 1.5 | 1 | N/A | 3 | N/A | 1.0 | 2 | N/A | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-04-28 | 2019-05-01 | E | 1043 | N/A | 0.5 | 23.5 | 20.5 | 9 | 14 | 5 | 3.5 | 8 | N/A | N/A | 2 | 1.5 | 1.5 | N/A | 3 | N/A | 1 | 3 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-04-29 | 2019-04-30 | E | 1037 | N/A | 0.5 | 23 | 21.5 | 9 | 14.5 | 5.5 | 3.5 | 9 | N/A | N/A | 2 | 1.5 | 1.5 | N/A | 2.5 | N/A | 1 | 2.5 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-26 | 2019-04-30 | E | 1379 | N/A | 0.5 | 22.5 | 22 | 8 | 14.5 | 5 | 5 | 9.5 | N/A | N/A | 2.5 | 2 | 1 | N/A | 3 | N/A | 1.0 | 2.5 | N/A | 1
OpinionWay–Tilder | Les Echos and Radio Classique | 2019-04-24 | 2019-04-30 | E | 1930 | N/A | 1 | 21 | 24 | 8 | 14 | 5 | 4 | 8 | N/A | N/A | 3 | 1 | 1 | N/A | 4 | N/A | 1 | N/A | N/A | 6
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-04-28 | 2019-04-29 | E | 1052 | N/A | 0.5 | 24 | 21.5 | 8.5 | 14 | 5 | 3.5 | 8 | N/A | N/A | 2.5 | 1.5 | 1.5 | N/A | 3 | N/A | 1 | 2.5 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-25 | 2019-04-29 | E | 1369 | N/A | 0.5 | 23 | 21.5 | 8 | 14.5 | 5.5 | 4.5 | 9.5 | N/A | N/A | 2.5 | 2 | 1 | N/A | 3 | N/A | 1.0 | 2.5 | N/A | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-04-27 | 2019-04-28 | E | 1052 | N/A | 0.5 | 23.5 | 21 | 9 | 14.5 | 5 | 4 | 8.5 | N/A | N/A | 2.5 | 1 | 1 | N/A | 3.5 | N/A | 1 | 2 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-04-26 | 2019-04-27 | E | 1059 | N/A | 0.5 | 24 | 21 | 9 | 14.5 | 5.5 | 4 | 9 | N/A | N/A | 2 | 1 | 1 | N/A | 3 | N/A | 1 | 2 | N/A | 2
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-04-25 | 2019-04-26 | E | 1072 | N/A | 0.5 | 23.5 | 20.5 | 9.5 | 14 | 6 | 3.5 | 9.5 | N/A | N/A | 2.5 | 0.5 | 1.5 | N/A | 4 | N/A | 1 | 1.5 | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-23 | 2019-04-26 | E | 1385 | N/A | 0.5 | 23 | 21.5 | 9.0 | 15 | 5.5 | 4 | 9 | N/A | N/A | 2.5 | 2 | 1 | N/A | 3.0 | N/A | 1.0 | 1.5 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-20 | 2019-04-24 | E | 1393 | N/A | 0.5 | 22 | 20.5 | 9.0 | 15 | 6.0 | 4.5 | 8.5 | N/A | N/A | 2.0 | 2.5 | 1.5 | N/A | 3.0 | N/A | 1.0 | 2 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-19 | 2019-04-23 | E | 1369 | N/A | 0.5 | 22 | 21 | 8.5 | 14.5 | 6.0 | 4.5 | 8.5 | N/A | N/A | 2.5 | 2.5 | 1.5 | N/A | 3.0 | N/A | 1 | 2 | N/A | 1
OpinionWay–Tilder | Les Echos and Radio Classique | 2019-04-17 | 2019-04-23 | E | 1965 | N/A | 1 | 21 | 24 | 9 | 14 | 6 | 4 | 7 | N/A | N/A | 3 | 1 | 1 | N/A | 3 | N/A | 1 | N/A | N/A | 6
Ipsos | La Fondation Jean Jaurès, Le CEVIPOF and Le Monde | 2019-04-18 | 2019-04-22 | E | 8747 | N/A | 0.5 | 23 | 22 | 7 | 13.5 | 6.5 | 4.5 | 8.5 | N/A | N/A | 2 | 1 | 1 | N/A | 4 | N/A | 1 | 2 | N/A | 2
BVA | Europe 1 and La Tribune | 2019-04-15 | 2019-04-21 | E | 2501 | N/A | 0.5 | 23 | 22 | 7.5 | 13 | 6 | 4.5 | 8 | N/A | N/A | 2.5 | 1 | 1 | N/A | 3.5 | 1.5 | 1.5 | 2 | N/A | 1.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-16 | 2019-04-19 | E | 1361 | N/A | 0.5 | 22 | 22.5 | 7 | 14 | 6.5 | 4.5 | 8.5 | N/A | N/A | 2.5 | 2 | 1 | N/A | 3 | N/A | 1 | 3 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-15 | 2019-04-18 | E | 1333 | N/A | 0.5 | 22 | 22 | 8 | 13.5 | 6 | 5.5 | 9 | N/A | N/A | 3 | 2.5 | 1 | N/A | 3.5 | N/A | 1 | N/A | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-13 | 2019-04-17 | E | 1335 | N/A | 0.5 | 22 | 21.5 | 7.5 | 13.5 | 6 | 5 | 9 | N/A | N/A | 2.5 | 2 | 1 | N/A | 3.5 | 0 | 1 | 2.5 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-12 | 2019-04-16 | E | 1358 | N/A | 0.5 | 21.5 | 21 | 8 | 13 | 6 | 5 | 9 | N/A | N/A | 3 | 1.5 | 2 | N/A | 3.5 | 0 | 1 | 2.5 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-11 | 2019-04-15 | E | 1391 | N/A | 0.5 | 21.5 | 21.5 | 8 | 13 | 6 | 5 | 8.5 | N/A | N/A | 3 | 1 | 1.5 | N/A | 3.5 | 0.5 | 1 | 3 | N/A | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-04-12 | 2019-04-13 | E | 1031 | N/A | 0.5 | 22.5 | 21 | 9.5 | 14 | 6.5 | 4 | 8 | N/A | N/A | 2.5 | 1 | 2 | N/A | 4 | N/A | 1 | N/A | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-09 | 2019-04-12 | E | 1388 | N/A | 0.5 | 22 | 21.5 | 8.5 | 13 | 5.5 | 5 | 7.5 | N/A | N/A | 3.5 | 1.5 | 1 | N/A | 3 | 1 | 1 | 3 | N/A | 1
BVA | Europe 1 and La Tribune | 2019-04-10 | 2019-04-11 | E | 1402 | N/A | 0.5 | 24 | 20 | 8 | 13.5 | 5.5 | 4 | 7 | N/A | N/A | 2 | 1 | 1 | N/A | 3.5 | 1.5 | 1.5 | 3 | N/A | 1.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-08 | 2019-04-11 | E | 1395 | N/A | 0.5 | 22.5 | 22 | 9 | 13.5 | 5 | 5 | 7 | N/A | N/A | 3.5 | 1.5 | 1.5 | N/A | 3.5 | 1 | 1 | N/A | N/A | 1.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-06 | 2019-04-10 | E | 1401 | N/A | 0.5 | 22.5 | 21 | 9 | 13.5 | 5.5 | 4.5 | 7 | N/A | N/A | 3 | 1.5 | 1 | N/A | 3 | 1 | 1 | 3 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-05 | 2019-04-09 | E | 1396 | N/A | 0.5 | 22.5 | 21 | 8.5 | 13 | 5.5 | 4.5 | 7.5 | N/A | N/A | 2.5 | 2 | 1 | N/A | 3 | 0.5 | 1 | 3.5 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-04 | 2019-04-08 | E | 1370 | N/A | 0.5 | 23 | 20.5 | 8.5 | 13 | 5 | 4.5 | 7.5 | N/A | N/A | 2.5 | 2.5 | 1 | N/A | 3 | 0.5 | 1 | 3.5 | N/A | 1
Harris Interactive | LCI, Le Figaro, RTL and TF1 | 2019-04-05 | 2019-04-06 | E | 1051 | N/A | 0.5 | 23 | 21 | 8.5 | 13 | 5.5 | 5 | 8 | N/A | N/A | 2 | 1.5 | 2 | N/A | 3.5 | 2 | 1 | N/A | N/A | 2
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-02 | 2019-04-05 | E | 1368 | N/A | 0.5 | 23.5 | 21 | 8.5 | 13 | 5 | 5 | 7.5 | N/A | N/A | 2 | 2 | 1 | N/A | 3.5 | 0.5 | 1 | 3 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-04-01 | 2019-04-04 | E | 1373 | N/A | 0.5 | 23.5 | 22 | 8.5 | 13 | 5.5 | 5.5 | 7.5 | N/A | N/A | 2 | 2.5 | 1 | N/A | 3 | 1.5 | 1 | N/A | N/A | 1.5
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-30 | 2019-04-03 | E | 1370 | N/A | 0.5 | 23 | 21 | 8.5 | 13 | 5.5 | 5.5 | 7.5 | N/A | N/A | 2.5 | 2 | 0.5 | N/A | 3 | 1 | 1 | 3.5 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-29 | 2019-04-02 | E | 1397 | N/A | 0.5 | 23 | 20.5 | 8.5 | 13.5 | 5.5 | 5.5 | 8 | N/A | N/A | 2.5 | 1.5 | 0.5 | N/A | 3 | 1 | 1 | 3.5 | N/A | 1
Ifop-Fiducial | CNews, Paris Match and Sud Radio | 2019-03-28 | 2019-04-01 | E | 1370 | N/A | 0.5 | 22.5 | 21 | 8.5 | 14 | 5 | 5.5 | 8 | N/A | N/A | 2 | 1.5 | 0.5 | N/A | 3 | 1 | 1 | 3.5 | N/A | 1
